    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -2.254773752,      0.3373407792,      0.1739845836,       3.196981004,       1.238580421,       2.858526345
      -2.254832544,      0.3335364552,      0.1681367687,       3.197473742,       1.236913108,       2.857963596
      -2.254359304,      0.3296474595,      0.1621988979,       3.198472176,       1.236462079,       2.857398413
      -2.253405839,      0.3256783255,      0.1561773143,       3.199909102,        1.23702362,       2.856825724
      -2.252024279,      0.3216334333,      0.1500783959,       3.201720248,       1.238402709,       2.856241141
      -2.250265972,      0.3175170143,       0.143908582,       3.203845144,       1.240419195,       2.855640907
      -2.248180717,      0.3133331639,      0.1376743755,       3.206227641,       1.242911449,       2.855021842
      -2.245816113,      0.3090858498,      0.1313823528,       3.208816218,       1.245738011,       2.854381294
      -2.243217088,      0.3047789206,      0.1250391696,       3.211564096,       1.248777655,       2.853717094
      -2.240425577,      0.3004161141,      0.1186515661,       3.214429203,       1.251928415,       2.853027508
      -2.237480332,      0.2960010645,      0.1122263712,       3.217374022,       1.255105967,       2.852311196
      -2.234416836,      0.2915373092,       0.105770504,       3.220365364,       1.258241694,       2.851567173
      -2.231267318,      0.2870282955,     0.09929097481,       3.223374079,       1.261280661,       2.850794775
       -2.22806083,      0.2824773865,     0.09279488322,       3.226374749,       1.264179645,       2.849993619
       -2.22482337,      0.2778878662,     0.08628941526,       3.229345356,       1.266905313,       2.849163578
      -2.221578059,      0.2732629453,     0.07978183775,       3.232266965,       1.269432592,       2.848304749
      -2.218345319,      0.2686057652,     0.07327949071,       3.235123403,       1.271743095,       2.847417262
      -2.215143384,      0.2639180753,     0.06679022426,       3.237899646,       1.273823392,       2.846501253
      -2.211988737,      0.2592018238,     0.06032193005,       3.240582668,       1.275665667,       2.845557859
      -2.208894432,      0.2544628363,     0.05388136949,       3.243165638,       1.277267128,       2.844587925
      -2.205871747,      0.2497040053,     0.04747597733,       3.245641106,       1.278625712,       2.843592294
      -2.202930599,      0.2449281649,     0.04111324417,       3.248002618,       1.281635064,       2.842681408
      -2.199462633,       0.239145503,     0.03351793673,       3.250770275,       1.280426144,       2.841273775
      -2.196887548,      0.2343380939,     0.02729255554,       3.252650675,       1.283273653,       2.840337356
      -2.193602767,       0.228529259,     0.01985612494,       3.255194743,        1.28129493,       2.838871733
      -2.191311985,        0.22370778,      0.0137875627,       3.256733607,       1.283681795,       2.837898477
      -2.188288978,      0.2178887395,    0.006556064113,        3.25897011,       1.284621686,       2.836600222
      -2.185244856,      0.2108543371,   -0.001947202961,       3.260950824,       1.286448799,       2.835057108
      -2.181751962,      0.2023489778,    -0.01184842963,       3.263193812,       1.285816718,       2.833050783
      -2.178588323,      0.1920818676,    -0.02341008221,        3.26470707,       1.287543924,       2.830792376
      -2.174865705,      0.1796743448,     -0.0361851109,       3.266566818,       1.278768448,       2.827553016
      -2.173662095,      0.1648564938,    -0.05136652396,       3.265075502,       1.295545031,       2.825319395
